subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	mapping_justification	mapping_date	creator_id	author_id	confidence	comment
prov:Activity	Activity		skos:broaderThan	schema:CreateAction	Create action		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	Assuming activity is workflow/process execution
prov:Activity	Activity		skos:broaderThan	schema:OrganizeAction	Organize action		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	Assuming activity is workflow/process execution
prov:Agent	Agent		skos:equivalent	schema:instrument	instrument	schema:OrganizeAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	Assuming agent is a workflow management system
prov:Person	Person		skos:equivalent	schema:Person	Person		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:Organization	Organization		skos:equivalent	schema:Organization	Organization		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:SoftwareAgent	Software agent		skos:broaderThan	schema:SoftwareApplication	Software application		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:Plan	Plan		skos:broaderThan	bioschema:ComputationalWorkflow	Computational workflow		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:Plan	Plan		skos:broaderThan	schema:SoftwareApplication	Software application		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:Plan	Plan		skos:broaderThan	schema:HowTo	How-to		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:Entity	Entity		skos:broaderThan	schema:MediaObject	File (Media object)		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	Assuming non-Plan entity
prov:Entity	Entity		skos:broaderThan	schema:Dataset	Dataset	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95		Assuming non-Plan entity
prov:Entity	Entity		skos:broaderThan	schema:PropertyValue	Property value		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	Assuming non-Plan entity
prov:wasStartedBy	was started by		skos:narrowerThan	schema:agent	agent	schema:CreateAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:wasStartedBy	was started by		skos:narrowerThan	schema:startTime	start time	schema:CreateAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:wasEndedBy	was ended by		skos:narrowerThan	schema:agent	agent	schema:CreateAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:wasEndedBy	was ended by		skos:narrowerThan	schema:endTime	end time	schema:CreateAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:wasAssociatedWith	was associated with		skos:broaderThan	schema:agent	agent	schema:CreateAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:wasAssociatedWith	was associated with		skos:broaderThan	schema:instrument	instrument	schema:CreateAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:hadPlan	hadPlan	prov:Association	skos:related	schema:instrument	instrument	schema:CreateAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	Complex mapping: an instrument implies the existence of a qualified association (prov:Association) linked to a prov:Plan through prov:hadPlan
prov:agent	agent	prov:Association	skos:related	schema:agent	agent	schema:CreateAction	semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	Complex mapping: an agent implies the existence of a qualified association (prov:Association) linked to a prov:Agent through prov:agent
prov:used	used		skos:equivalent	schema:	object_label		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
prov:wasGeneratedBy	was generated by		skos:equivalent	schema:	object_label		semapv:HumanCuration	2023-10-22	orcid:0000-0001-9842-9718	orcid:0000-0003-0454-7145	0.95	
